delta_hr,rmssd_post,sdnn_post,gsr_change_pct,participant_id,label
-0.04712729292641597,-0.16017260086573515,0.1279496041823677,-0.026331371730157115,P003,0
-0.004556540442536061,0.05416084037196924,0.22664171664055174,0.0795276642205863,P003,1
-0.0320866276605102,-0.07252355641476242,0.0446662221769202,0.0028733437311529997,P003,0
-0.009800115391954023,0.049017255277613005,0.2271538413847793,0.053172557490870534,P003,1
0.06261746294603654,-0.011381323629757389,0.006922314550456577,0.030418935833768045,P003,0
0.023221258829107683,-0.05076906809472348,0.11619838060541951,0.02740552726190799,P003,0
0.09657421168321889,0.05887411918038197,0.18481729507543604,0.06965638673955254,P003,1
0.0803497384500588,0.06531172398008493,0.1769670033745115,0.0654635145930115,P003,1
-0.005894863956018526,-0.002936588291777298,0.20446464007709436,0.04913140561047839,P003,1
0.09714777296603642,0.049254872246820014,0.0811045584477597,0.06952211616207933,P003,1
0.07756285232862865,0.04679191962095501,0.0935918733903236,0.07234242484155402,P003,1
-0.060597645629786714,-0.016468660662940237,0.022779560956314525,-0.04340314498367661,P003,0
-0.04265976213355316,-0.1456799377579955,0.08707330437950986,0.021690520567062777,P003,0
0.09412750892843177,0.04901059904041176,0.07121637957043277,0.06461461073777172,P003,1
0.025022678369168716,-0.008646184907956923,0.1233219167443167,-0.036700553494210905,P003,0
-0.06529324793727938,-0.017928876645510173,0.05515108805811906,-0.05039405399438692,P003,0
0.022910531675643143,-0.025785295530931764,-0.008919691834853439,-0.049860873357465606,P004,0
0.004519200343656849,-0.017132261222013768,-0.007103304985685099,-0.058847167420935875,P004,0
-0.04217341700341422,-0.06765265533213097,-0.014032141012739885,0.0029449806032062044,P004,0
0.0304493564402037,-0.058076743785568395,-0.0066117285643485955,-0.05229139367565949,P004,0
0.06483723347200794,0.007907624120980472,-0.11181072205008605,-0.01624266676053594,P004,0
0.05639804998818363,0.010442317336946871,-0.05035366407573747,-0.02199467914088018,P004,0
-0.037643887066587924,-0.02219814976915586,-0.017898054107445206,-0.03932554124721719,P004,0
-0.06504445560531166,-0.07039251531223271,-0.02163081633325419,-0.015151546223387413,P004,0
0.03055662363731244,-0.04054103470134578,-0.007590874852621709,-0.005461889598700509,P004,0
-0.04740832499837779,-0.036449253549471906,-0.010765463734151126,-0.03384401732646438,P004,0
0.06970503514676238,0.017172013465096825,0.016771818182087374,0.06135998557620041,P004,1
0.07319231612486873,0.10288850918477692,-0.019934893727122472,0.019043959545888355,P004,1
-0.04712985465221209,-0.06248135063924565,-0.023558781854171686,-0.024996143196767663,P004,0
0.028147811046528658,-0.07224804429361029,-0.021581037506621215,-0.04681544902377936,P004,0
0.04357343970623333,-0.010916531444763677,-0.00920725709047474,-0.05853170512673387,P004,0
0.045099662232496486,0.043896906381723964,0.013571179897189723,0.014896664593197783,P004,1
0.08508467070678308,-0.011260055630191345,0.018617246692792834,0.019232863796059974,P004,1
-0.0048981168605223505,0.11394882152226274,0.0289757040245604,0.035394890626594136,P004,1
-0.011666918787886971,-0.0500405084761951,0.023852310084203056,0.028422535751997203,P004,1
-0.04556798708290444,-0.058109164222878464,-0.006028810892075853,-0.02073620237624709,P004,0
0.07388411083866231,-0.009338809349719668,0.026145641968469135,-0.02530373536365005,P004,1
-0.05432868687221344,-0.061733930971149674,-0.019729259295945666,-0.02805954840814593,P004,0
-0.06401770340435178,-0.07217052078349298,-0.013857351078058855,-0.02522398933842851,P004,0
0.013539884194506158,0.03455307043823268,-0.007895230314352375,-0.03201118698825667,P005,0
0.07865750818982634,0.15004137700757383,-0.0302922887810837,0.0372091648742753,P005,1
-0.011340278627039879,0.10455169849615231,-0.18949391898227078,-0.005146749481082224,P005,0
0.07273740735636239,0.0733325567643078,0.025061592346310134,0.04704726504569408,P005,1
0.02967545816372876,-0.0074821698457526505,-0.06271363760984058,0.01017439112856664,P005,0
-0.05299358123347701,-0.02586725494438724,-0.015757686166398343,-0.023349280799084226,P005,0
-0.04380652861432281,0.05578839604404493,-0.1471692025395896,-0.025260673147113267,P005,0
0.0009321505680873088,0.17615658850813815,-0.016163066828494266,0.03610118389724448,P005,1
-0.04715962099216995,0.07822560079589494,-0.18279802474462487,0.003062200161184592,P005,0
-0.032963612579851545,0.0636510838315644,-0.19022899049036823,-0.01310131514319437,P005,0
0.037117713089674,0.11627734053763561,-0.05789083511372155,0.00933603918965673,P005,1
0.011769419201027632,0.018670497355469707,-0.042171121061619486,-0.03483835879151229,P005,0
0.05601067601187424,0.1544677962966489,0.0030470042047454626,-0.027726317774431665,P005,1
-0.03280135010386402,0.06272186835885804,-0.07230407252955047,-0.030853257716080405,P005,0
-0.03317764099488159,0.07773089040401829,-0.1361094999836041,-0.02078010428494963,P005,0
-0.03993261604173313,0.041647499735199746,-0.1786798652183279,-0.009501694322716503,P005,0
-0.010491645579304532,0.03166844662641779,-0.17024569195923506,-0.03439115851315364,P005,0
-0.0036045211272266895,0.04360488894139962,-0.16182455282228148,-0.031066820987598477,P005,0
-0.04224735912621327,-0.07140862037085753,-0.024393068512017634,-0.026870600199345063,P005,0
-0.05244241024697658,0.09038692630892911,-0.1491717879231146,-0.022294595084713365,P005,0
-0.053658716276913765,-0.07229250611735552,-0.014780798790798143,0.004811568268632982,P005,0
-0.043575258673627104,0.061011726371680196,-0.04655264771754446,-0.017938305797270005,P005,0
0.016845425188694207,0.02879720838350295,-0.19154529085662944,-0.029866228387163574,P005,0
-0.015489287982018141,0.17498868989882793,0.04844610937761899,0.03303231428581057,P005,1
